164.52.2.100,443,164.52.1.182,SG,Singapore,隧道,8 ms
103.145.72.28,443,103.145.72.28,CN,Hong Kong,中转,41 ms
103.232.215.194,443,2001:df3:2e82:cd0a:dcd3:bc52:a8c6:ac56,SG,Singapore,隧道,23 ms
164.52.2.99,443,164.52.1.179,SG,Singapore,隧道,13 ms
101.36.116.40,443,101.36.116.40,HK,Hong Kong,中转,36 ms
120.232.150.109,443,120.232.150.100,CN,Hong Kong,隧道,44 ms
164.52.2.98,443,164.52.1.182,SG,Singapore,隧道,10 ms
45.255.124.196,443,45.255.124.196,JP,Tokyo,中转,69 ms
120.232.150.110,443,120.232.150.100,CN,Hong Kong,隧道,41 ms
123.58.212.234,443,123.58.212.234,HK,Hong Kong,中转,47 ms
120.232.150.100,443,120.232.150.100,CN,Hong Kong,中转,47 ms
120.136.20.116,443,103.114.193.8,HK,Hong Kong,隧道,72 ms
140.207.80.6,443,140.207.80.6,CN,Los Angeles,中转,107 ms
47.93.6.221,443,47.57.8.24,HK,Hong Kong,隧道,291 ms
140.207.80.7,443,140.207.80.7,CN,Los Angeles,中转,104 ms
153.99.246.105,443,153.99.246.105,CN,Los Angeles,中转,125 ms
47.93.16.123,443,47.57.7.234,HK,Hong Kong,隧道,279 ms
43.250.107.91,443,2001:df3:2e81:42ae:b80c:8d87:1916:2c12,HK,Hong Kong,隧道,37 ms
